Artist,Listeners,Daily +/-,Peak,PkListeners
Bruno Mars,"113,003,048","-105,957",1,"151,079,821"
The Weeknd,"111,258,780","-206,244",1,"126,192,069"
Justin Bieber,"100,023,274","-186,706",3,"104,411,890"
Lady Gaga,"97,787,211","-237,384",2,"124,637,761"
Ed Sheeran,"96,751,637","-253,789",2,"100,809,268"
Coldplay,"95,000,915","-97,593",4,"98,296,633"
Rihanna,"90,913,276","-47,950",2,"93,716,556"
Billie Eilish,"89,626,499","-223,742",1,"108,297,865"
Taylor Swift,"87,394,238","305,205",1,"116,229,071"
David Guetta,"82,071,189","-61,716",4,"82,747,865"
Drake,"81,725,190","-198,620",3,"86,591,246"
Bad Bunny,"79,792,590","-99,257",3,"95,350,887"
Kendrick Lamar,"76,590,339","-235,021",4,"112,091,210"
Ariana Grande,"76,489,849","-38,772",2,"123,700,287"
Calvin Harris,"72,640,310","-196,312",13,"76,334,289"
Maroon 5,"72,000,673","-194,152",16,"75,143,583"
SZA,"69,506,351","-230,738",6,"97,852,020"
J Balvin,"68,212,569","-123,760",18,"70,482,988"
Post Malone,"67,817,882",-969,3,"98,466,468"
Eminem,"67,177,086","201,889",5,"86,389,533"
Shakira,"65,993,224","-91,353",3,"82,268,835"
Katy Perry,"64,049,430","-135,359",20,"68,464,762"
Sabrina Carpenter,"63,723,505","-67,901",4,"90,844,193"
Dua Lipa,"63,671,863","-71,991",3,"78,673,675"
Sia,"63,475,404","-298,847",8,"93,545,630"
Travis Scott,"63,369,572","-244,314",6,"75,557,671"
Pitbull,"60,518,472","-173,299",24,"66,809,902"
Kanye West,"59,576,542","-3,663",6,"78,581,428"
Chris Brown,"59,004,414","-70,944",25,"59,516,940"
Lana Del Rey,"58,680,907","-46,300",22,"64,952,989"
Black Eyed Peas,"57,195,501","-115,203",28,"61,377,432"
Beyoncé,"57,125,715","-119,940",6,"78,122,541"
Daddy Yankee,"56,047,266","-38,759",22,"58,098,739"
Imagine Dragons,"55,783,515","-196,924",18,"62,801,774"
sombr,"55,667,621","85,258",35,"55,667,621"
Doja Cat,"55,500,856","366,717",5,"76,357,864"
Marshmello,"54,295,472","-66,958",11,"68,947,085"
Miley Cyrus,"53,793,320","-202,186",2,"84,140,935"
Alex Warren,"53,728,094","-17,472",36,"55,736,704"
Tate McRae,"53,415,702","-89,608",26,"59,945,963"
Benson Boone,"53,320,131","-38,162",31,"60,310,612"
Michael Jackson,"53,183,570","21,368",35,"55,663,612"
KPop Demon Hunters Cast,"53,108,120","225,917",43,"53,108,120"
Arctic Monkeys,"52,506,546","-5,346",36,"56,618,863"
KAROL G,"52,181,787","-75,381",21,"63,139,763"
Linkin Park,"51,707,569","11,177",29,"60,369,972"
Adele,"51,671,341","-108,127",23,"62,764,213"
Future,"51,565,065","-109,455",22,"65,628,348"
Lil Wayne,"51,386,389","-14,293",43,"52,904,090"
Shreya Ghoshal,"50,421,867","41,423",50,"50,421,867"
The Chainsmokers,"50,152,219","-136,311",44,"52,157,060"
Sam Smith,"49,684,815","-211,087",7,"73,972,799"
Fleetwood Mac,"49,410,624","-93,066",50,"50,975,096"
OneRepublic,"49,384,108","-199,706",23,"64,167,172"
Arijit Singh,"49,200,688","-126,249",52,"50,561,480"
Queen,"48,768,823","-110,535",29,"64,087,998"
Rauw Alejandro,"48,730,955","-33,029",34,"55,799,543"
REI AMI,"48,489,528","263,919",58,"48,489,528"
EJAE,"48,458,946","239,287",59,"48,458,946"
Shawn Mendes,"48,458,693","-133,050",45,"49,285,295"
Khalid,"48,190,854","-98,473",28,"55,253,946"
Sean Paul,"47,827,081","-83,251",48,"50,313,773"
AUDREY NUNA,"47,612,134","259,792",63,"47,612,134"
Chappell Roan,"47,355,595","173,091",59,"47,355,595"
HUNTR/X,"47,354,115","254,695",65,"47,354,115"
Halsey,"47,007,810","-119,399",48,"49,612,188"
Camila Cabello,"46,999,249","-147,039",57,"48,263,505"
Elton John,"46,321,975","-42,612",16,"72,669,137"
Pritam,"45,620,587","-31,309",67,"45,668,471"
Justin Timberlake,"45,446,373","-19,040",57,"46,918,730"
Olivia Rodrigo,"45,418,514","66,107",18,"64,128,148"
Ozuna,"45,135,002","13,558",40,"51,532,028"
Nicki Minaj,"44,989,973","-11,798",18,"65,680,733"
Playboi Carti,"44,958,086","-120,913",27,"62,424,456"
Teddy Swims,"44,846,724","-55,765",44,"51,616,484"
Maluma,"43,992,355","-136,595",56,"47,177,187"
Harry Styles,"43,683,690","-147,034",13,"66,411,599"
