Artist,Listeners,Daily Trend,Peak,PkListeners
Bruno Mars,"140,821,167","220,493",1,"140,821,167"
Ariana Grande,"122,940,583","-588,004",2,"123,700,287"
The Weeknd,"115,911,332","-124,653",1,"120,693,473"
Lady Gaga,"112,411,477","144,813",3,"114,392,075"
Billie Eilish,"104,804,091","9,887",1,"108,297,865"
Justin Bieber,"104,114,959","-274,090",3,"104,411,890"
Mariah Carey,"99,646,792","-671,757",5,"100,610,625"
Taylor Swift,"98,317,444","-221,813",1,"116,229,071"
Coldplay,"96,439,149","-20,761",4,"96,459,910"
Ed Sheeran,"94,287,179","-244,597",2,"94,810,774"
Sia,"92,873,054","-498,790",8,"93,545,630"
Sabrina Carpenter,"90,224,909","-28,139",4,"90,253,048"
Rihanna,"82,837,676","48,333",2,"87,326,767"
SZA,"80,984,331","-54,458",9,"81,552,518"
Wham!,"80,936,394","-592,124",13,"81,641,878"
Kendrick Lamar,"78,503,730","-187,130",8,"79,784,307"
David Guetta,"74,388,307","79,646",4,"80,447,076"
Eminem,"74,306,623","-217,435",5,"86,389,533"
Drake,"73,222,087","14,336",3,"86,591,246"
Michael Bublé,"72,623,262","-699,542",13,"73,651,203"
Brenda Lee,"72,422,851","-679,632",21,"73,309,610"
Elton John,"72,171,530","-289,963",16,"72,669,137"
Travis Scott,"70,383,528","-36,568",6,"75,422,869"
Post Malone,"70,293,492","69,535",3,"98,466,468"
Bad Bunny,"69,022,008","46,076",3,"84,533,787"
ROSÉ,"65,628,534","111,292",23,"65,767,366"
Kanye West,"65,538,248","-28,131",6,"78,581,428"
Katy Perry,"64,785,777","-94,794",23,"64,880,571"
Bobby Helms,"64,423,320","-565,341",28,"65,149,144"
Kelly Clarkson,"64,165,273","-464,520",29,"64,847,712"
Queen,"63,552,649","-133,055",30,"63,748,236"
Dua Lipa,"63,002,401","-23,123",3,"78,673,675"
Maroon 5,"61,582,946","-33,696",21,"64,519,614"
Frank Sinatra,"60,928,006","-551,216",33,"61,802,582"
Dean Martin,"60,545,893","-627,694",35,"61,464,079"
Shakira,"60,147,045","-79,299",3,"82,268,835"
Imagine Dragons,"59,470,771","-67,017",18,"62,801,774"
Calvin Harris,"58,930,893","-24,542",13,"73,882,008"
Miley Cyrus,"58,452,628","-96,040",2,"84,140,935"
