Artist,Listeners,Daily Trend,Peak,PkListeners
Bruno Mars,"148,370,558","-389,636",1,"151,079,821"
The Weeknd,"126,001,929","-82,022",1,"126,192,069"
Lady Gaga,"124,568,063","32,012",2,"124,568,063"
Kendrick Lamar,"109,012,547","442,537",4,"109,012,547"
Billie Eilish,"107,918,454","3,434",1,"108,297,865"
SZA,"97,123,581","163,500",6,"97,123,581"
Coldplay,"91,872,268","-294,000",4,"96,459,910"
Rihanna,"91,252,956","-139,943",2,"91,529,958"
Bad Bunny,"90,254,048","-364,972",3,"95,350,887"
Taylor Swift,"87,015,619","-138,802",1,"116,229,071"
Ariana Grande,"82,615,407","-224,551",2,"123,700,287"
Justin Bieber,"81,503,251","-160,428",3,"104,411,890"
Drake,"80,906,211","97,649",3,"86,591,246"
Ed Sheeran,"75,525,413","159,246",2,"94,810,774"
Travis Scott,"74,785,881","-216,513",6,"75,557,671"
David Guetta,"74,557,363","18,938",4,"80,447,076"
Eminem,"74,279,783","-162,493",5,"86,389,533"
Sabrina Carpenter,"72,590,019","-35,040",4,"90,844,193"
Post Malone,"69,213,572","-114,316",3,"98,466,468"
Kanye West,"67,370,262","-156,728",6,"78,581,428"
Maroon 5,"65,333,566","-163,062",21,"65,980,957"
Dua Lipa,"64,141,837","-174,458",3,"78,673,675"
J Balvin,"63,717,124","-169,221",22,"65,323,505"
ROSÉ,"63,525,066","-355,838",17,"71,124,800"
Calvin Harris,"61,796,352","-125,770",13,"73,882,008"
Lana Del Rey,"61,538,443","-133,137",22,"64,952,989"
Shakira,"61,501,603","-96,315",3,"82,268,835"
Adele,"60,851,899","-70,814",23,"62,764,213"
Katy Perry,"60,665,911","-51,285",23,"65,618,321"
Future,"60,374,241","24,947",22,"65,628,348"
Beyoncé,"60,266,842","-50,871",6,"78,122,541"
Sia,"60,187,347","160,070",8,"93,545,630"
Doja Cat,"58,210,971","146,857",5,"76,357,864"
Imagine Dragons,"57,854,598","-196,819",18,"62,801,774"
Sam Smith,"57,049,194","-324,001",7,"73,972,799"
Pitbull,"56,596,185","187,647",32,"57,732,751"
Miley Cyrus,"54,870,363","-68,747",2,"84,140,935"
Playboi Carti,"54,687,752","277,337",30,"59,047,563"
KAROL G,"54,166,439","-131,912",21,"63,139,763"
Arctic Monkeys,"53,492,306","-242,620",36,"56,618,863"
Rauw Alejandro,"53,409,047","-128,036",34,"55,799,543"
Chris Brown,"53,279,522","-16,953",25,"54,390,450"
Marshmello,"52,724,314","-170,634",11,"68,947,085"
Lil Wayne,"52,682,823","-82,849",43,"52,904,090"
Daddy Yankee,"51,919,542","-120,887",22,"58,098,739"
"Tyler, The Creator","50,910,203","-58,300",43,"52,930,766"
Gracie Abrams,"50,703,407","20,724",43,"51,497,815"
OneRepublic,"50,361,314","-330,679",23,"64,167,172"
Metro Boomin,"50,316,448","-43,358",17,"64,728,517"
Khalid,"50,105,104","-185,215",28,"55,253,946"
Teddy Swims,"49,573,527","-200,422",44,"51,616,484"
21 Savage,"49,506,779","-212,071",17,"66,771,445"
Hozier,"48,749,131","-133,738",32,"57,616,097"
Elton John,"48,155,283","-80,109",16,"72,669,137"
Queen,"48,092,555","-108,671",29,"64,087,998"
Olivia Rodrigo,"47,568,476","-102,871",18,"64,128,148"
The Chainsmokers,"47,504,575","-95,836",47,"50,559,085"
Halsey,"47,488,877","-150,499",48,"47,980,065"
