Artist,Listeners,Daily Trend,Peak,PkListeners
Bruno Mars,"149,152,148","-874,263",1,"150,049,465"
The Weeknd,"117,278,732","-903,758",1,"120,693,473"
Lady Gaga,"117,108,848","-907,134",2,"118,440,946"
Billie Eilish,"104,322,261","-796,706",1,"108,297,865"
Coldplay,"90,644,369","-409,269",4,"96,459,910"
Bad Bunny,"90,110,889","261,414",3,"90,110,889"
Rihanna,"87,909,228","-709,671",2,"88,618,899"
Taylor Swift,"86,664,077","-803,160",1,"116,229,071"
Ariana Grande,"84,733,453","-1,273,504",2,"123,700,287"
SZA,"83,129,745","-362,182",9,"83,547,413"
Justin Bieber,"81,779,496","-804,030",3,"104,411,890"
Kendrick Lamar,"81,036,662","-369,243",8,"81,420,568"
Drake,"73,347,495","-349,959",3,"86,591,246"
David Guetta,"73,133,026","-1,584,159",4,"80,447,076"
Eminem,"73,005,716","-290,699",5,"86,389,533"
Sabrina Carpenter,"70,844,057","-1,345,562",4,"90,844,193"
ROSÉ,"69,900,620","-1,076,791",17,"71,124,800"
Post Malone,"69,262,619","-539,692",3,"98,466,468"
Travis Scott,"69,129,569","-149,546",6,"75,422,869"
Ed Sheeran,"67,756,741","-1,042,747",2,"94,810,774"
Kanye West,"65,134,410","-210,692",6,"78,581,428"
Dua Lipa,"64,865,325","-1,181,358",3,"78,673,675"
Maroon 5,"63,341,726","-367,284",21,"64,519,614"
J Balvin,"62,656,434","-275,375",24,"62,931,809"
Calvin Harris,"61,666,324","-1,109,951",13,"73,882,008"
Imagine Dragons,"59,933,111","-304,831",18,"62,801,774"
Shakira,"59,728,805","-796,632",3,"82,268,835"
Katy Perry,"59,108,888","-877,568",23,"65,618,321"
Lana Del Rey,"57,553,019","23,813",22,"64,952,989"
Sam Smith,"57,422,512","-41,987",7,"73,972,799"
Sia,"57,213,555","-858,704",8,"93,545,630"
Adele,"57,210,808","-144,964",23,"62,764,213"
Future,"56,925,311","-80,880",22,"65,628,348"
Beyoncé,"56,415,413","-952,244",6,"78,122,541"
KAROL G,"55,944,110","-450,764",21,"63,139,763"
Pitbull,"55,768,271","-1,216,843",32,"57,732,751"
Rauw Alejandro,"55,210,466","-328,761",34,"55,551,941"
Miley Cyrus,"54,873,810","-858,783",2,"84,140,935"
Arctic Monkeys,"54,176,336","-22,078",36,"56,618,863"
Marshmello,"53,712,948","-469,517",11,"68,947,085"
Daddy Yankee,"53,636,113","-663,256",22,"58,098,739"
Playboi Carti,"51,985,767","-621,657",30,"59,047,563"
OneRepublic,"51,435,271","-449,163",23,"64,167,172"
Gracie Abrams,"51,132,383","-275,878",43,"51,497,815"
Hozier,"49,386,632","-163,367",32,"57,616,097"
Teddy Swims,"49,207,676","-95,841",46,"49,303,517"
Khalid,"49,177,118","-160,710",28,"55,253,946"
"Tyler, The Creator","49,099,810","-201,671",43,"52,930,766"
Lil Wayne,"49,066,964","-26,782",49,"49,093,746"
Doja Cat,"49,002,945","-584,786",5,"76,357,864"
21 Savage,"48,965,707","57,215",17,"66,771,445"
Queen,"48,952,758","-971,021",29,"64,087,998"
Elton John,"48,874,867","-1,003,171",16,"72,669,137"
Chris Brown,"48,245,866","95,336",25,"54,390,450"
Metro Boomin,"47,668,026","-158,090",17,"64,728,517"
The Chainsmokers,"47,394,178","-262,863",47,"50,559,085"
Linkin Park,"46,690,279","-404,503",29,"60,369,972"
Halsey,"46,099,971","-34,446",48,"46,266,865"
Olivia Rodrigo,"45,973,414","-197,510",18,"64,128,148"
Nicki Minaj,"45,811,952","-437,627",18,"65,680,733"
Peso Pluma,"45,436,521","-192,468",27,"59,429,724"
Shawn Mendes,"45,343,117","-180,200",45,"49,285,295"
Myke Towers,"45,041,563","-258,395",48,"47,235,005"
Michael Jackson,"44,582,387","-582,525",35,"55,663,612"
Camila Cabello,"44,565,763","-351,966",57,"48,063,760"
Maluma,"44,482,506","-148,381",56,"47,177,187"
Harry Styles,"44,036,812","-430,906",13,"66,411,599"
Avicii,"43,085,233","-286,429",68,"43,371,662"
One Direction,"43,001,479","-291,547",26,"61,154,815"
Arijit Singh,"42,816,798","-106,316",57,"42,923,114"
The Neighbourhood,"42,730,788","85,451",62,"45,186,994"
Black Eyed Peas,"42,233,199","-1,015,595",57,"43,281,556"
Shreya Ghoshal,"42,118,994","-118,012",73,"42,276,764"
Feid,"41,641,343","-199,784",53,"46,407,503"
Pritam,"41,547,495","-73,820",75,"41,684,274"
Chappell Roan,"41,000,979","-881,999",59,"46,003,960"
Benson Boone,"40,684,322","-684,861",31,"60,310,612"
Lola Young,"40,559,367","194,771",78,"40,559,367"
The Kid LAROI,"40,454,228","-384,610",50,"46,982,806"
Ellie Goulding,"40,226,565","-248,126",51,"45,626,754"
Selena Gomez,"40,008,086","-308,047",22,"58,879,269"
USHER,"39,578,292","-704,118",47,"51,216,038"
Tate McRae,"38,620,415","-127,578",26,"59,945,963"
Tiësto,"38,314,213","-735,979",38,"53,621,311"
Don Toliver,"38,000,021","-107,239",85,"38,943,885"
Ozuna,"37,935,198","-216,493",40,"51,532,028"
XXXTENTACION,"37,860,545","-82,186",67,"42,898,057"
Britney Spears,"37,556,642","-937,582",48,"54,776,119"
A.R. Rahman,"37,437,979","-79,592",89,"38,262,861"
Justin Timberlake,"37,325,113","-552,090",57,"46,918,730"
Don Omar,"37,231,442","-492,174",89,"38,432,695"
50 Cent,"37,113,326","-379,586",79,"40,126,544"
Morgan Wallen,"36,843,512","-349,971",59,"46,385,773"
Kesha,"36,811,965","-1,169,549",58,"51,088,856"
Madonna,"36,810,813","-784,148",50,"48,192,778"
Charlie Puth,"36,778,407","70,344",58,"42,603,508"
DJ Snake,"36,604,234","-174,499",95,"37,261,803"
Grupo Frontera,"36,589,851","-41,790",64,"39,234,817"
Frank Ocean,"36,530,508","-57,597",97,"36,966,030"
JENNIE,"36,501,283","-161,270",85,"39,567,837"
J. Cole,"36,167,205","-14,925",45,"48,760,887"
Ne-Yo,"36,060,334","-554,649",81,"39,892,671"
Romeo Santos,"36,007,280","-138,924",102,"36,201,966"
Lil Baby,"35,830,647","101,157",76,"41,194,598"
Daniel Caesar,"35,742,102","-86,798",69,"44,105,561"
Gunna,"35,674,203","-256,062",65,"43,236,433"
Ty Dolla $ign,"35,509,305","-34,148",40,"52,532,512"
Anitta,"35,331,705","-344,427",71,"41,361,725"
A$AP Rocky,"34,918,307","-73,625",91,"38,053,171"
Cris Mj,"34,452,649","-309,796",52,"49,896,640"
Anuel AA,"34,424,757","-88,547",83,"35,286,500"
Fleetwood Mac,"34,198,063","-360,250",97,"35,832,635"
Red Hot Chili Peppers,"34,191,807","-113,880",81,"39,602,017"
Juice WRLD,"33,937,205","-72,056",92,"39,483,073"
Wiz Khalifa,"33,886,894","-147,587",96,"37,566,246"
P!nk,"33,709,474","-569,146",68,"37,814,655"
Sean Paul,"33,679,350","-482,342",66,"38,975,847"
AC/DC,"33,600,128","-371,678",77,"40,609,655"
Swae Lee,"33,434,017","-146,516",51,"47,431,521"
Ava Max,"33,423,131","-861,933",85,"42,954,408"
JAY-Z,"33,376,890","-154,028",66,"38,587,931"
Kali Uchis,"33,175,566","-5,641",49,"48,511,206"
ABBA,"33,027,400","-1,635,641",105,"35,949,380"
Farruko,"32,996,273","-418,982",64,"39,498,431"
The Police,"32,667,398","-445,981",120,"34,009,217"
Sachin-Jigar,"32,579,741","-158,973",126,"33,519,556"
The Beatles,"32,538,608","-396,783",78,"37,399,629"
Bebe Rexha,"32,522,763","-914,755",37,"49,496,274"
Disney,"32,265,537","-79,938",129,"32,356,081"
Fuerza Regida,"32,130,503","-186,684",105,"35,789,194"
Twenty One Pilots,"32,021,080","-29,544",118,"34,284,091"
Sexyy Red,"31,735,612","211,722",132,"31,735,612"
Nirvana,"31,626,458","-155,578",122,"32,994,437"
Mark Ronson,"31,623,723","-419,679",131,"32,768,567"
James Arthur,"31,604,026","-5,625",69,"40,276,141"
Kygo,"31,595,106","-419,913",95,"37,407,823"
Pharrell Williams,"31,488,974","-472,840",90,"37,520,208"
Tom Odell,"31,036,341","-108,206",87,"38,447,142"
Akon,"30,947,132","-217,663",128,"32,792,945"
Alicia Keys,"30,891,168","-239,272",101,"36,467,650"
Green Day,"30,783,736","-138,933",96,"36,657,007"
Manuel Turizo,"30,663,457","-205,222",66,"39,587,171"
Flo Rida,"30,486,762","-781,252",112,"34,646,575"
Bizarrap,"30,367,271","-174,883",28,"54,300,662"
Cigarettes After Sex,"30,301,153","118,595",145,"30,301,153"
Diplo,"30,179,769","-283,809",95,"34,712,763"
Snoop Dogg,"30,153,851","-387,725",109,"34,236,028"
Radiohead,"30,046,063","-19,726",147,"30,373,078"
Guns N' Roses,"29,986,425","-195,209",135,"31,649,813"
JHAYCO,"29,948,210","17,910",102,"33,308,450"
Omar Courtz,"29,827,060","223,356",151,"29,827,060"
Macklemore,"29,788,446","-390,029",99,"36,292,075"
Bon Jovi,"29,779,266","-324,071",143,"30,721,045"
Young Thug,"29,666,917","-31,391",97,"33,656,406"
Charli xcx,"29,594,929","-802,829",56,"46,491,335"
Jack Harlow,"29,423,679","-519,239",29,"59,210,566"
Tyla,"29,344,384","-554,868",112,"34,775,358"
Mariah Carey,"29,312,344","-1,289,462",5,"100,610,625"
Creedence Clearwater Revival,"29,191,627","-398,448",92,"38,637,577"
Ovy On The Drums,"29,048,713","-67,544",160,"29,122,356"
Amitabh Bhattacharya,"28,987,770","-149,832",149,"30,111,225"
Lewis Capaldi,"28,930,175","-97,887",66,"37,776,153"
Vishal-Shekhar,"28,885,092","-91,274",163,"28,976,366"
Gigi Perez,"28,884,910","-51,578",164,"28,971,776"
Central Cee,"28,660,652","423,905",78,"40,321,501"
GloRilla,"28,654,514","-146,628",166,"28,822,517"
DaBaby,"28,587,726","51,625",103,"32,070,946"
Cardi B,"28,567,883","-135,783",84,"36,282,159"
Jason Derulo,"28,561,498","-383,061",77,"39,368,590"
Noah Kahan,"28,518,585","-132,613",86,"37,900,933"
Carin Leon,"28,460,844","47,652",125,"32,386,759"
Gorillaz,"28,410,048","-42,864",54,"41,977,704"
FloyyMenor,"28,342,070","-318,859",66,"42,961,167"
Dei V,"28,293,404","268,945",174,"28,293,404"
Megan Thee Stallion,"28,177,987","-146,249",108,"35,834,865"
Robin Schulz,"28,166,561","-405,132",76,"34,908,935"
Nicky Jam,"28,044,570","-10,339",128,"30,366,327"
Lord Huron,"27,978,969","8,135",146,"31,623,501"
Billy Joel,"27,865,234","-362,925",132,"32,898,654"
Lost Frequencies,"27,801,490","-399,214",105,"36,503,461"
Giveon,"27,760,361","222,879",145,"27,760,361"
Tanishk Bagchi,"27,652,505","-111,374",165,"29,015,967"
Mac Miller,"27,589,399","-33,409",182,"27,622,808"
RAYE,"27,559,051","-482,196",70,"36,484,906"
Lil Uzi Vert,"27,463,513","-14,140",67,"39,580,515"
Anne-Marie,"27,459,040","-270,867",61,"41,501,481"
d4vd,"27,328,884","-21,269",94,"31,836,766"
Lily-Rose Depp,"27,272,369","-17,306",117,"32,569,522"
Nelly Furtado,"27,201,304","-362,917",159,"27,570,517"
Udit Narayan,"26,992,169","-75,760",183,"27,457,133"
Enrique Iglesias,"26,863,080","-202,569",151,"29,585,670"
Alan Walker,"26,723,271","-177,367",100,"33,218,914"
The Killers,"26,680,879","-364,216",178,"28,483,994"
Steve Lacy,"26,592,886","-10,019",111,"31,029,345"
Bee Gees,"26,551,007","-626,741",158,"28,740,653"
Metallica,"26,279,869","-119,626",144,"27,227,046"
The Rolling Stones,"26,265,850","-320,766",138,"29,911,374"
Major Lazer,"26,250,631","-230,319",132,"31,365,666"
ZAYN,"26,205,342","17,634",160,"28,851,598"
Shaboozey,"26,179,060","-701,750",110,"35,811,664"
Christina Aguilera,"26,049,597","-377,220",143,"34,034,008"
beabadoobee,"26,008,933","182,055",202,"26,008,933"
Chencho Corleone,"25,985,773","-99,513",106,"31,161,386"
Danny Ocean,"25,963,592","174,552",204,"25,963,592"
Whitney Houston,"25,869,562","-991,475",135,"35,060,772"
Demi Lovato,"25,808,886","-73,122",98,"33,320,815"
Meghan Trainor,"25,805,947","-363,215",69,"41,619,008"
Tame Impala,"25,788,382","-43,752",162,"28,367,463"
Zach Bryan,"25,685,994","-187,867",119,"34,463,168"
Blessd,"25,637,381","-101,830",207,"26,439,074"
