Artist,Listeners,Daily +/-,Peak,PkListeners
Bruno Mars,"111,133,331","155,220",1,"151,079,821"
The Weeknd,"111,113,098","-138,307",1,"126,192,069"
Justin Bieber,"99,611,497","459,207",3,"104,411,890"
Ed Sheeran,"99,457,510","111,085",2,"100,809,268"
Lady Gaga,"98,722,257","-183,151",2,"124,637,761"
Coldplay,"97,368,731","314,963",4,"97,368,731"
Billie Eilish,"92,086,836","4,949",1,"108,297,865"
Rihanna,"91,350,187","148,454",2,"93,716,556"
Drake,"82,091,063","223,698",3,"86,591,246"
Taylor Swift,"82,088,009","48,705",1,"116,229,071"
Bad Bunny,"81,822,013","-71,324",3,"95,350,887"
David Guetta,"80,752,840","296,165",4,"80,752,840"
Kendrick Lamar,"80,315,144","-13,984",4,"112,091,210"
Ariana Grande,"76,332,794","-18,258",2,"123,700,287"
Calvin Harris,"76,051,722","57,462",13,"76,334,289"
SZA,"73,008,361","-126,975",6,"97,852,020"
Maroon 5,"71,817,811","24,090",16,"75,143,583"
J Balvin,"70,346,194","-5,044",18,"70,482,988"
Post Malone,"67,934,582","18,846",3,"98,466,468"
Shakira,"67,472,453","50,103",3,"82,268,835"
Katy Perry,"67,226,434","-30,371",20,"68,464,762"
Sabrina Carpenter,"66,996,584","-327,161",4,"90,844,193"
Travis Scott,"66,844,844","96,089",6,"75,557,671"
Sia,"66,766,394","78,622",8,"93,545,630"
Eminem,"66,619,015","92,099",5,"86,389,533"
Dua Lipa,"66,179,837","-107,385",3,"78,673,675"
Pitbull,"64,638,833","-68,275",24,"66,809,902"
Black Eyed Peas,"61,024,159","-17,423",28,"61,377,432"
Kanye West,"59,941,661","-10,446",6,"78,581,428"
Imagine Dragons,"59,199,432","-13,342",18,"62,801,774"
Lana Del Rey,"59,185,635","-5,604",22,"64,952,989"
Chris Brown,"58,470,814","-27,087",25,"59,516,940"
Miley Cyrus,"58,137,416","1,526",2,"84,140,935"
Beyoncé,"57,993,033","-28,733",6,"78,122,541"
Tate McRae,"56,609,862","8,143",26,"59,945,963"
Alex Warren,"55,714,553","-22,151",36,"55,736,704"
Daddy Yankee,"55,457,281","-69,756",22,"58,098,739"
KAROL G,"55,175,478","-148,698",21,"63,139,763"
Benson Boone,"54,991,981","-142,281",31,"60,310,612"
Doja Cat,"54,513,767","61,267",5,"76,357,864"
Marshmello,"53,588,487","-30,579",11,"68,947,085"
Arctic Monkeys,"53,488,186","44,197",36,"56,618,863"
Future,"52,771,156","-27,365",22,"65,628,348"
OneRepublic,"52,104,859","8,975",23,"64,167,172"
Adele,"52,038,868","22,863",23,"62,764,213"
The Chainsmokers,"51,592,639","162,931",46,"51,592,639"
Linkin Park,"51,020,664","58,559",29,"60,369,972"
Sam Smith,"50,462,202","81,851",7,"73,972,799"
Sean Paul,"50,160,257","-41,593",48,"50,313,773"
Khalid,"50,018,263","-8,199",28,"55,253,946"
Lil Wayne,"49,661,728","128,306",43,"52,904,090"
Queen,"49,645,164","116,818",29,"64,087,998"
sombr,"49,642,425","64,646",51,"49,642,425"
Fleetwood Mac,"49,417,517","363,123",54,"49,417,517"
Rauw Alejandro,"49,293,377",674,34,"55,799,543"
Michael Jackson,"48,919,209","146,555",35,"55,663,612"
Halsey,"48,856,783","-8,229",48,"49,612,188"
Arijit Singh,"48,133,732","162,946",57,"48,133,732"
Elton John,"48,108,481","53,998",16,"72,669,137"
Camila Cabello,"47,928,129","70,083",57,"48,063,760"
