Artist,Listeners,Daily +/-,Peak,PkListeners
Bruno Mars,"115,378,988","-276,661",1,"151,079,821"
The Weeknd,"112,310,105","-105,132",1,"126,192,069"
Lady Gaga,"104,622,217","-286,733",2,"124,637,761"
Ed Sheeran,"97,627,315","385,929",2,"97,627,315"
Billie Eilish,"95,551,862","-129,450",1,"108,297,865"
Coldplay,"93,378,551","-71,017",4,"96,459,910"
Rihanna,"90,991,422","-90,435",2,"93,716,556"
Taylor Swift,"82,498,592","-9,060",1,"116,229,071"
Bad Bunny,"81,835,011","-131,145",3,"95,350,887"
Kendrick Lamar,"81,711,272","-130,701",4,"112,091,210"
Justin Bieber,"81,313,193","-31,030",3,"104,411,890"
Drake,"80,078,992","49,268",3,"86,591,246"
David Guetta,"78,403,427","15,264",4,"80,447,076"
Ariana Grande,"77,652,536","-130,730",2,"123,700,287"
SZA,"75,065,899","-117,318",6,"97,852,020"
Calvin Harris,"74,833,645","-116,705",13,"75,465,100"
Sabrina Carpenter,"72,808,184","268,648",4,"90,844,193"
Maroon 5,"70,603,713","20,649",16,"75,143,583"
J Balvin,"68,836,374","4,662",19,"68,836,374"
Dua Lipa,"67,906,889","-147,191",3,"78,673,675"
Katy Perry,"67,586,926","-34,316",20,"68,214,026"
Post Malone,"67,463,716","15,476",3,"98,466,468"
Shakira,"67,394,939","-25,646",3,"82,268,835"
Eminem,"66,692,967","-51,551",5,"86,389,533"
Pitbull,"66,282,848","78,609",25,"66,282,848"
Sia,"65,525,686","-42,021",8,"93,545,630"
Travis Scott,"63,260,573","-63,159",6,"75,557,671"
Kanye West,"61,252,350","-32,181",6,"78,581,428"
Miley Cyrus,"59,533,486","-375,961",2,"84,140,935"
Chris Brown,"58,821,135","119,326",25,"58,821,135"
Lana Del Rey,"58,811,823","32,961",22,"64,952,989"
Beyoncé,"57,779,303","-72,935",6,"78,122,541"
Imagine Dragons,"56,995,636","62,862",18,"62,801,774"
Black Eyed Peas,"56,853,403","379,213",34,"56,853,403"
Benson Boone,"56,826,427","169,733",31,"60,310,612"
Tate McRae,"56,701,110","-107,142",26,"59,945,963"
KAROL G,"55,081,856","190,208",21,"63,139,763"
Daddy Yankee,"54,857,948","15,457",22,"58,098,739"
Arctic Monkeys,"53,929,261","-57,018",36,"56,618,863"
Marshmello,"53,705,385","115,283",11,"68,947,085"
Future,"53,158,146","-28,768",22,"65,628,348"
Adele,"53,022,012","-119,216",23,"62,764,213"
Alex Warren,"52,234,577","36,733",42,"52,951,044"
OneRepublic,"52,015,903","-25,165",23,"64,167,172"
Linkin Park,"50,580,910","20,372",29,"60,369,972"
Doja Cat,"50,021,734","-97,155",5,"76,357,864"
