Artist,Listeners,Daily Trend,Peak,PkListeners
Bruno Mars,"137,753,327","-271,086",1,"151,079,821"
Lady Gaga,"117,901,159","-324,878",2,"124,637,761"
The Weeknd,"117,893,054","-164,966",1,"126,192,069"
Kendrick Lamar,"101,341,568","-588,348",4,"112,091,210"
Billie Eilish,"101,132,435","-221,205",1,"108,297,865"
Coldplay,"90,642,366","-127,671",4,"96,459,910"
SZA,"87,828,980","-417,043",6,"97,852,020"
Rihanna,"87,661,761","-187,549",2,"91,529,958"
Bad Bunny,"83,082,844","-148,243",3,"95,350,887"
Taylor Swift,"82,119,752","-120,624",1,"116,229,071"
Justin Bieber,"78,494,174","-111,356",3,"104,411,890"
Drake,"78,339,101","-171,672",3,"86,591,246"
Ariana Grande,"77,554,173","600,408",2,"123,700,287"
Ed Sheeran,"75,957,293","-43,393",2,"94,810,774"
David Guetta,"73,991,792","-116,637",4,"80,447,076"
Eminem,"69,958,948","-224,174",5,"86,389,533"
Travis Scott,"69,629,577","-130,420",6,"75,557,671"
Dua Lipa,"68,900,629","138,407",3,"78,673,675"
Sia,"66,740,998","235,567",8,"93,545,630"
Sabrina Carpenter,"65,965,596","-187,195",4,"90,844,193"
Calvin Harris,"65,533,943","194,951",13,"73,882,008"
Post Malone,"64,890,043","-115,296",3,"98,466,468"
Kanye West,"63,850,682","-170,241",6,"78,581,428"
Maroon 5,"63,114,180","-109,399",21,"65,980,957"
Shakira,"62,827,020","1,305",3,"82,268,835"
J Balvin,"62,675,265","30,305",22,"65,323,505"
Future,"62,203,580","-590,146",22,"65,628,348"
Pitbull,"61,261,268","-121,611",28,"61,521,233"
Katy Perry,"59,682,251","-35,652",23,"65,618,321"
Playboi Carti,"59,601,810","460,574",30,"59,601,810"
Doechii,"59,563,779","353,169",30,"59,563,779"
Adele,"57,880,782","-133,611",23,"62,764,213"
Beyoncé,"56,969,342","-50,812",6,"78,122,541"
Lana Del Rey,"56,851,698","-114,956",22,"64,952,989"
Doja Cat,"56,786,129","-18,645",5,"76,357,864"
ROSÉ,"55,780,392","-286,788",17,"71,124,800"
Imagine Dragons,"54,852,615","-173,522",18,"62,801,774"
Chris Brown,"53,347,991","-94,106",25,"54,390,450"
Arctic Monkeys,"52,990,524","29,132",36,"56,618,863"
Miley Cyrus,"52,540,678","-58,857",2,"84,140,935"
Selena Gomez,"51,257,823","519,620",22,"58,879,269"
Marshmello,"50,873,473","66,862",11,"68,947,085"
Sam Smith,"50,853,570","-177,073",7,"73,972,799"
Daddy Yankee,"50,783,888","-95,808",22,"58,098,739"
