Artist,Listeners,Daily +/-,Peak,PkListeners
Bruno Mars,"121,208,793","-468,166",1,"151,079,821"
The Weeknd,"115,949,816","-158,519",1,"126,192,069"
Lady Gaga,"114,855,812","-309,296",2,"124,637,761"
Billie Eilish,"100,054,490","-81,498",1,"108,297,865"
Rihanna,"93,679,986","-28,883",2,"93,708,869"
Coldplay,"91,699,292","16,956",4,"96,459,910"
Ed Sheeran,"90,313,738","156,629",2,"94,810,774"
Kendrick Lamar,"86,951,336","-169,935",4,"112,091,210"
Bad Bunny,"83,975,310","18,413",3,"95,350,887"
Taylor Swift,"82,144,592","-80,669",1,"116,229,071"
Justin Bieber,"80,758,201","13,697",3,"104,411,890"
Ariana Grande,"80,742,235","-42,405",2,"123,700,287"
Drake,"80,377,462","-46,192",3,"86,591,246"
David Guetta,"78,655,466","-3,219",4,"80,447,076"
SZA,"78,048,942","-119,110",6,"97,852,020"
Maroon 5,"75,143,583","42,850",16,"75,143,583"
Calvin Harris,"73,974,851","156,895",13,"73,974,851"
Post Malone,"69,999,892","-122,492",3,"98,466,468"
Dua Lipa,"69,395,656",408,3,"78,673,675"
Eminem,"68,552,034","39,353",5,"86,389,533"
J Balvin,"68,208,117","-26,783",21,"68,237,429"
Katy Perry,"67,480,668","61,747",22,"67,480,668"
Shakira,"66,921,710","124,942",3,"82,268,835"
Sia,"66,756,572","-1,992",8,"93,545,630"
Travis Scott,"64,717,725","121,723",6,"75,557,671"
Sabrina Carpenter,"64,305,715","-102,914",4,"90,844,193"
Pitbull,"63,356,176","41,218",26,"63,356,176"
Kanye West,"62,303,073","-86,782",6,"78,581,428"
Lana Del Rey,"59,998,778","-154,976",22,"64,952,989"
Miley Cyrus,"59,315,348","-8,366",2,"84,140,935"
Beyoncé,"59,265,479","8,269",6,"78,122,541"
Chris Brown,"56,665,893","-9,450",25,"56,699,262"
Imagine Dragons,"56,408,796","-28,711",18,"62,801,774"
Adele,"56,103,238","-63,380",23,"62,764,213"
Daddy Yankee,"55,550,216","-124,079",22,"58,098,739"
Future,"55,108,366","-88,848",22,"65,628,348"
Benson Boone,"55,058,209","-40,034",31,"60,310,612"
Arctic Monkeys,"55,036,119",-519,36,"56,618,863"
Doja Cat,"54,985,012","-75,614",5,"76,357,864"
KAROL G,"53,813,038","69,983",21,"63,139,763"
Tate McRae,"53,222,094","218,346",26,"59,945,963"
OneRepublic,"53,162,982","-72,021",23,"64,167,172"
Marshmello,"51,900,335","-34,248",11,"68,947,085"
Selena Gomez,"51,292,606","-169,013",22,"58,879,269"
Sam Smith,"51,199,312","-40,696",7,"73,972,799"
Playboi Carti,"50,458,592","-55,911",27,"62,424,456"
Khalid,"50,074,138","-1,242",28,"55,253,946"
Linkin Park,"49,943,268","16,433",29,"60,369,972"
Queen,"49,734,072","-72,660",29,"64,087,998"
Black Eyed Peas,"49,386,113","50,488",50,"49,386,113"
Halsey,"49,331,180","-8,485",48,"49,405,464"
Rauw Alejandro,"49,244,814","-45,069",34,"55,799,543"
Teddy Swims,"49,128,525","-102,111",44,"51,616,484"
JENNIE,"49,000,118","-186,213",42,"51,284,235"
The Chainsmokers,"48,445,364","20,145",47,"50,559,085"
Hozier,"48,383,965","-45,103",32,"57,616,097"
Elton John,"48,313,480","-34,891",16,"72,669,137"
