Artist,Listeners,Daily Trend,Peak,PkListeners
Bruno Mars,"135,898,133","350,201",1,"135,898,133"
The Weeknd,"118,724,441","-701,526",1,"120,693,473"
Lady Gaga,"111,337,350","-847,907",3,"114,392,075"
Billie Eilish,"104,425,265","-533,305",1,"108,297,865"
Ariana Grande,"91,229,696","815,047",3,"99,648,377"
Taylor Swift,"89,965,370","-135,860",1,"116,229,071"
Coldplay,"88,396,945","-234,182",4,"93,879,219"
Justin Bieber,"85,212,923","328,078",3,"95,396,733"
Rihanna,"83,994,426","-653,760",2,"87,326,767"
Ed Sheeran,"80,300,102","284,124",2,"87,934,910"
Sabrina Carpenter,"76,168,659","-24,211",4,"86,978,817"
Eminem,"74,669,621","-124,051",5,"86,389,533"
Drake,"73,574,052","-131,667",3,"86,591,246"
David Guetta,"72,864,088","-215,508",4,"80,447,076"
Post Malone,"71,019,072","-56,912",3,"98,466,468"
Travis Scott,"70,264,590","-195,617",6,"75,422,869"
SZA,"70,062,515","266,786",9,"74,637,927"
Sia,"67,919,178","471,194",8,"82,360,014"
Kendrick Lamar,"66,949,869","728,169",8,"78,851,748"
Kanye West,"65,956,142","-106,810",6,"78,581,428"
Bad Bunny,"64,403,798","125,016",3,"84,533,787"
Maroon 5,"63,614,029","-15,382",21,"64,519,614"
Shakira,"63,073,352","-441,150",3,"82,268,835"
Dua Lipa,"62,914,957","-48,524",3,"78,673,675"
Calvin Harris,"61,396,311","69,478",13,"73,882,008"
Imagine Dragons,"61,091,909","-271,065",18,"62,801,774"
Katy Perry,"59,835,418","-264,582",23,"61,909,408"
Adele,"59,781,211","-61,997",23,"62,764,213"
J Balvin,"59,269,758","3,303",29,"59,269,758"
Lana Del Rey,"58,172,978","-493,759",22,"64,952,989"
KAROL G,"57,816,072","-215,247",21,"63,139,763"
ROSÉ,"57,815,481","468,547",32,"57,815,481"
Pitbull,"57,638,335","-34,266",32,"57,732,751"
Marshmello,"57,287,484","-88,110",11,"68,947,085"
