Artist,Listeners,Daily +/-,Peak,PkListeners
The Weeknd,"120,077,930","198,724",1,"126,192,069"
Bruno Mars,"115,140,185","17,634",1,"151,079,821"
Taylor Swift,"111,357,511","289,445",1,"116,229,071"
Rihanna,"101,911,839","80,735",2,"101,911,839"
Lady Gaga,"100,785,006","3,178",2,"124,637,761"
Justin Bieber,"98,904,900","-214,861",3,"104,411,890"
Ed Sheeran,"93,950,197","258,700",2,"100,809,268"
Billie Eilish,"93,809,693","53,874",1,"108,297,865"
Coldplay,"91,560,226","15,001",4,"98,296,633"
Ariana Grande,"85,279,879","118,806",2,"123,700,287"
Bad Bunny,"81,578,095","-125,508",3,"95,350,887"
Drake,"80,871,576","83,490",3,"86,591,246"
David Guetta,"79,910,137","60,170",4,"82,747,865"
Sabrina Carpenter,"76,450,916","45,251",4,"90,844,193"
Maroon 5,"72,217,783","-65,709",15,"75,143,583"
Kendrick Lamar,"72,197,031","-93,674",4,"112,091,210"
Eminem,"70,362,531","61,920",5,"86,389,533"
SZA,"70,115,528","-25,598",6,"97,852,020"
Shakira,"67,455,042","218,023",3,"82,268,835"
Calvin Harris,"67,007,682","-75,608",13,"76,334,289"
J Balvin,"66,809,836","-32,519",18,"70,482,988"
Kanye West,"64,220,283","65,761",6,"78,581,428"
Post Malone,"64,057,360","-126,290",3,"98,466,468"
Sia,"63,139,924","171,342",8,"93,545,630"
Doja Cat,"62,585,988","-47,640",5,"76,357,864"
Lana Del Rey,"62,090,304","55,313",22,"64,952,989"
Katy Perry,"62,086,543","-120,404",20,"68,464,762"
Dua Lipa,"61,932,545","-31,547",3,"78,673,675"
Travis Scott,"60,752,289","-74,231",6,"75,557,671"
KPop Demon Hunters Cast,"60,090,114","96,459",30,"60,090,114"
Chris Brown,"59,943,607","18,712",25,"59,949,501"
Pitbull,"59,410,857","162,845",24,"66,809,902"
Michael Jackson,"59,357,041","260,603",33,"59,357,041"
Tate McRae,"58,476,988","-108,521",26,"59,945,963"
sombr,"57,631,972","-50,980",29,"59,821,549"
Adele,"56,860,718","43,554",23,"62,764,213"
Imagine Dragons,"55,726,206","77,387",18,"62,801,774"
Daddy Yankee,"55,660,761","-23,438",22,"58,098,739"
Beyoncé,"55,053,358","-73,783",6,"78,122,541"
EJAE,"54,593,382","103,028",40,"54,593,382"
REI AMI,"54,292,527","69,873",41,"54,292,527"
Black Eyed Peas,"53,642,988","8,455",28,"61,377,432"
HUNTR/X,"53,580,229","87,041",43,"53,580,229"
Arctic Monkeys,"53,437,655","-117,844",36,"56,618,863"
AUDREY NUNA,"53,383,542","80,500",45,"53,383,542"
Khalid,"53,323,724","-23,943",28,"55,253,946"
Linkin Park,"53,123,850","-12,858",29,"60,369,972"
Sam Smith,"52,977,370","37,991",7,"73,972,799"
Alex Warren,"52,410,496","-28,771",35,"55,736,704"
Rauw Alejandro,"52,156,703","-37,545",34,"55,799,543"
Miley Cyrus,"51,913,792","-39,659",2,"84,140,935"
Future,"51,402,265","19,161",22,"65,628,348"
Shreya Ghoshal,"51,017,272","10,706",50,"51,017,272"
Marshmello,"50,795,028","-163,193",11,"68,947,085"
Halsey,"50,526,955","43,247",48,"50,611,093"
Arijit Singh,"50,285,359","-10,316",52,"50,561,480"
"Tyler, The Creator","49,860,054","-210,353",43,"52,930,766"
Benson Boone,"49,368,465","27,394",31,"60,310,612"
Queen,"48,891,073","-15,222",29,"64,087,998"
Fleetwood Mac,"48,890,569","83,650",50,"50,975,096"
Justin Timberlake,"48,652,234","-17,842",57,"48,670,076"
KAROL G,"48,389,345","34,627",21,"63,139,763"
Ozuna,"48,354,671","52,308",40,"51,532,028"
Teddy Swims,"48,013,232","95,679",44,"51,616,484"
Lil Wayne,"47,874,023","-71,178",43,"52,904,090"
Pritam,"47,823,842","-30,031",66,"47,853,873"
Shawn Mendes,"47,742,741","-63,912",45,"49,285,295"
Elton John,"47,692,060","67,131",16,"72,669,137"
OneRepublic,"47,627,964","-67,735",23,"64,167,172"
The Chainsmokers,"47,262,655","36,952",44,"52,157,060"
Olivia Rodrigo,"46,893,946","-64,807",18,"64,128,148"
Playboi Carti,"46,410,193","93,369",27,"62,424,456"
Charlie Puth,"46,187,527","157,474",58,"46,187,527"
Sean Paul,"45,779,884","135,414",48,"50,313,773"
Harry Styles,"45,242,330","115,841",13,"66,411,599"
The Neighbourhood,"45,201,600","89,379",62,"45,201,600"
Nicki Minaj,"44,953,923","46,853",18,"65,680,733"
USHER,"44,566,001","55,236",47,"51,216,038"
Britney Spears,"44,368,688","109,006",48,"54,776,119"
Camila Cabello,"44,221,558","-24,391",57,"48,263,505"
One Direction,"43,690,984","-81,373",26,"61,154,815"
Metro Boomin,"43,601,357","27,176",17,"64,728,517"
Radiohead,"43,493,276","32,498",76,"43,493,276"
Ne-Yo,"43,128,431","212,434",74,"44,485,088"
A.R. Rahman,"42,936,029","24,491",82,"42,936,029"
Maluma,"42,909,373","-11,399",56,"47,177,187"
Selena Gomez,"42,576,987","32,339",22,"58,879,269"
JENNIE,"42,339,534","-20,707",42,"51,284,235"
Hozier,"42,253,529","53,042",32,"57,616,097"
Gorillaz,"42,203,271","-44,536",54,"42,877,228"
Red Hot Chili Peppers,"42,193,855","42,894",80,"42,593,962"
RAYE,"42,024,875","94,451",70,"42,024,875"
Don Omar,"41,943,700","14,799",82,"42,335,400"
50 Cent,"41,933,935","80,006",79,"41,933,935"
Ellie Goulding,"41,592,014","73,458",51,"45,626,754"
21 Savage,"41,407,623","9,431",17,"66,771,445"
Farruko,"40,877,395","45,617",64,"41,168,610"
Tame Impala,"40,352,018","201,207",98,"40,352,018"
Wiz Khalifa,"40,033,622","-5,996",78,"43,003,656"
DJ Snake,"39,891,028","10,148",73,"44,837,268"
Peso Pluma,"39,709,724","-34,450",27,"59,429,724"
Olivia Dean,"39,618,726","191,389",102,"39,618,726"
The Kid LAROI,"39,363,371","-114,398",50,"46,982,806"
JAY-Z,"39,178,229","35,181",66,"39,178,229"
Kesha,"39,044,520","112,932",56,"51,088,856"
Madonna,"38,949,068","60,915",50,"48,192,778"
Mariah Carey,"38,641,462","68,974",5,"100,610,625"
Fuerza Regida,"38,612,593","-14,430",102,"38,852,150"
Chappell Roan,"38,578,153","-44,339",59,"47,355,595"
Don Toliver,"38,370,751","-34,482",79,"42,762,039"
The Goo Goo Dolls,"38,174,926","15,738",105,"38,486,480"
Flo Rida,"38,173,702","151,029",88,"40,806,713"
Daniel Caesar,"37,737,366","84,455",69,"44,105,561"
Grupo Frontera,"37,641,674","34,548",64,"39,234,817"
