Artist,Listeners,Daily +/-,Peak,PkListeners
The Weeknd,"114,295,329","174,837",1,"126,192,069"
Bruno Mars,"111,516,167","223,751",1,"151,079,821"
Lady Gaga,"101,290,713","273,770",2,"124,637,761"
Justin Bieber,"101,021,028","128,354",3,"104,411,890"
Rihanna,"94,488,533","270,487",2,"94,488,533"
Ed Sheeran,"92,726,750","1,410",2,"100,809,268"
Coldplay,"92,155,249","-146,216",4,"98,296,633"
Billie Eilish,"89,211,278","238,907",1,"108,297,865"
Taylor Swift,"87,078,219","-126,942",1,"116,229,071"
Drake,"81,586,034","-65,459",3,"86,591,246"
Ariana Grande,"80,779,520","140,989",2,"123,700,287"
Bad Bunny,"77,353,368","19,393",3,"95,350,887"
David Guetta,"77,124,846","-82,049",4,"82,747,865"
Sabrina Carpenter,"73,282,189","-320,760",4,"90,844,193"
Kendrick Lamar,"72,979,616","-21,682",4,"112,091,210"
Maroon 5,"69,170,751","251,175",15,"75,143,583"
SZA,"68,949,897","144,944",6,"97,852,020"
Calvin Harris,"68,899,756","-33,572",13,"76,334,289"
Eminem,"67,888,654","-19,443",5,"86,389,533"
Post Malone,"66,227,314","-167,164",3,"98,466,468"
J Balvin,"65,600,579","-24,550",18,"70,482,988"
Shakira,"65,231,360","-17,341",3,"82,268,835"
Dua Lipa,"62,253,107","8,070",3,"78,673,675"
Travis Scott,"62,062,938","-31,407",6,"75,557,671"
Katy Perry,"61,785,248","7,887",20,"68,464,762"
Kanye West,"61,175,709","111,181",6,"78,581,428"
Doja Cat,"59,809,787","147,594",5,"76,357,864"
Lana Del Rey,"59,772,811","13,170",22,"64,952,989"
sombr,"59,684,661","302,835",29,"59,684,661"
Sia,"58,808,809","-143,823",8,"93,545,630"
Chris Brown,"58,803,281","-8,628",25,"59,516,940"
KPop Demon Hunters Cast,"58,129,208","61,080",32,"58,200,703"
Pitbull,"57,020,168","-104,896",24,"66,809,902"
Beyoncé,"55,977,871","-46,600",6,"78,122,541"
Tate McRae,"55,377,081","262,830",26,"59,945,963"
Alex Warren,"54,221,598","35,352",35,"55,736,704"
Daddy Yankee,"53,756,112","15,037",22,"58,098,739"
Black Eyed Peas,"53,715,766","-7,576",28,"61,377,432"
Arctic Monkeys,"53,562,279","138,343",36,"56,618,863"
Michael Jackson,"53,463,339","74,018",35,"55,663,612"
Adele,"53,235,211","111,855",23,"62,764,213"
Imagine Dragons,"53,223,802","129,218",18,"62,801,774"
EJAE,"53,062,994","20,892",40,"53,319,891"
REI AMI,"52,714,330",898,42,"53,111,611"
Miley Cyrus,"52,206,263","32,304",2,"84,140,935"
AUDREY NUNA,"52,014,014","17,350",45,"52,347,641"
HUNTR/X,"51,923,650","10,509",46,"52,226,523"
Linkin Park,"51,734,197","4,627",29,"60,369,972"
Future,"51,445,517","-22,880",22,"65,628,348"
Marshmello,"51,354,807","-2,439",11,"68,947,085"
Benson Boone,"49,995,581","-135,309",31,"60,310,612"
Shreya Ghoshal,"49,599,228","51,081",50,"50,530,336"
Lil Wayne,"49,350,763","-5,301",43,"52,904,090"
Sam Smith,"49,263,062","119,337",7,"73,972,799"
