album_id,album_name,track_name,release_date,artist_u_id,artist_u_name,artist_v_id,artist_v_name
6Rl6YoCarF2GHPSQmmFjuR,$ome $exy $ongs 4 U,CN TOWER,2025-02-14,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,3TVXtAsR1Inumwj472S9r4,Drake
6Rl6YoCarF2GHPSQmmFjuR,$ome $exy $ongs 4 U,MOTH BALLS,2025-02-14,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,3TVXtAsR1Inumwj472S9r4,Drake
6Rl6YoCarF2GHPSQmmFjuR,$ome $exy $ongs 4 U,SOMETHING ABOUT YOU,2025-02-14,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,3TVXtAsR1Inumwj472S9r4,Drake
6Rl6YoCarF2GHPSQmmFjuR,$ome $exy $ongs 4 U,SPIDER-MAN SUPERMAN,2025-02-14,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,3TVXtAsR1Inumwj472S9r4,Drake
6Rl6YoCarF2GHPSQmmFjuR,$ome $exy $ongs 4 U,PIMMIE'S DILEMMA,2025-02-14,30AbYddXmSkDXhnW6lB0ll,Pimmie,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR
6Rl6YoCarF2GHPSQmmFjuR,$ome $exy $ongs 4 U,PIMMIE'S DILEMMA,2025-02-14,30AbYddXmSkDXhnW6lB0ll,Pimmie,3TVXtAsR1Inumwj472S9r4,Drake
6Rl6YoCarF2GHPSQmmFjuR,$ome $exy $ongs 4 U,PIMMIE'S DILEMMA,2025-02-14,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,3TVXtAsR1Inumwj472S9r4,Drake
6Rl6YoCarF2GHPSQmmFjuR,$ome $exy $ongs 4 U,LASERS,2025-02-14,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,3TVXtAsR1Inumwj472S9r4,Drake
6Rl6YoCarF2GHPSQmmFjuR,$ome $exy $ongs 4 U,MEET YOUR PADRE,2025-02-14,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,3TVXtAsR1Inumwj472S9r4,Drake
6Rl6YoCarF2GHPSQmmFjuR,$ome $exy $ongs 4 U,MEET YOUR PADRE,2025-02-14,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,2rmkQLzj0k4nZdQehOUByO,Chino Pacas
6Rl6YoCarF2GHPSQmmFjuR,$ome $exy $ongs 4 U,MEET YOUR PADRE,2025-02-14,3TVXtAsR1Inumwj472S9r4,Drake,2rmkQLzj0k4nZdQehOUByO,Chino Pacas
6Rl6YoCarF2GHPSQmmFjuR,$ome $exy $ongs 4 U,DIE TRYING,2025-02-14,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,3TVXtAsR1Inumwj472S9r4,Drake
6Rl6YoCarF2GHPSQmmFjuR,$ome $exy $ongs 4 U,DIE TRYING,2025-02-14,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,1ooV8YZC1KbpEcrmI8WH0F,Yebba
6Rl6YoCarF2GHPSQmmFjuR,$ome $exy $ongs 4 U,DIE TRYING,2025-02-14,3TVXtAsR1Inumwj472S9r4,Drake,1ooV8YZC1KbpEcrmI8WH0F,Yebba
6Rl6YoCarF2GHPSQmmFjuR,$ome $exy $ongs 4 U,SOMEBODY LOVES ME,2025-02-14,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,3TVXtAsR1Inumwj472S9r4,Drake
