album_id,album_name,track_name,release_date,artist_u_id,artist_u_name,artist_v_id,artist_v_name
2DQ6hHlAGj6DiT0Y068bnK,The Marshall Mathers LP (25th Anniversary),Stan,2025-05-23,7dGJo4pcD2V6oG8kP0tJRR,Eminem,2mpeljBig2IXLXRAFO9AAs,Dido
2DQ6hHlAGj6DiT0Y068bnK,The Marshall Mathers LP (25th Anniversary),Steve Berman,2025-05-23,7dGJo4pcD2V6oG8kP0tJRR,Eminem,4XJl0Ba9LUbTemYMEYw794,Steve Berman
2DQ6hHlAGj6DiT0Y068bnK,The Marshall Mathers LP (25th Anniversary),Remember Me?,2025-05-23,7dGJo4pcD2V6oG8kP0tJRR,Eminem,3drEaBmm4UexsiDfz5AzXV,RBX
2DQ6hHlAGj6DiT0Y068bnK,The Marshall Mathers LP (25th Anniversary),Remember Me?,2025-05-23,7dGJo4pcD2V6oG8kP0tJRR,Eminem,6NFWb2y6S7PH2yvs5xbO2y,Sticky Fingaz
2DQ6hHlAGj6DiT0Y068bnK,The Marshall Mathers LP (25th Anniversary),Remember Me?,2025-05-23,3drEaBmm4UexsiDfz5AzXV,RBX,6NFWb2y6S7PH2yvs5xbO2y,Sticky Fingaz
2DQ6hHlAGj6DiT0Y068bnK,The Marshall Mathers LP (25th Anniversary),Amityville,2025-05-23,7dGJo4pcD2V6oG8kP0tJRR,Eminem,2TSvMFHlguDI495vujOAys,Bizarre
2DQ6hHlAGj6DiT0Y068bnK,The Marshall Mathers LP (25th Anniversary),Bitch Please II,2025-05-23,7dGJo4pcD2V6oG8kP0tJRR,Eminem,6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre
2DQ6hHlAGj6DiT0Y068bnK,The Marshall Mathers LP (25th Anniversary),Bitch Please II,2025-05-23,7dGJo4pcD2V6oG8kP0tJRR,Eminem,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg
2DQ6hHlAGj6DiT0Y068bnK,The Marshall Mathers LP (25th Anniversary),Bitch Please II,2025-05-23,7dGJo4pcD2V6oG8kP0tJRR,Eminem,4tujQJicOnuZRLiBFdp3Ou,Xzibit
2DQ6hHlAGj6DiT0Y068bnK,The Marshall Mathers LP (25th Anniversary),Bitch Please II,2025-05-23,7dGJo4pcD2V6oG8kP0tJRR,Eminem,1Oa0bMld0A3u5OTYfMzp5h,Nate Dogg
2DQ6hHlAGj6DiT0Y068bnK,The Marshall Mathers LP (25th Anniversary),Bitch Please II,2025-05-23,6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg
2DQ6hHlAGj6DiT0Y068bnK,The Marshall Mathers LP (25th Anniversary),Bitch Please II,2025-05-23,6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,4tujQJicOnuZRLiBFdp3Ou,Xzibit
2DQ6hHlAGj6DiT0Y068bnK,The Marshall Mathers LP (25th Anniversary),Bitch Please II,2025-05-23,6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,1Oa0bMld0A3u5OTYfMzp5h,Nate Dogg
2DQ6hHlAGj6DiT0Y068bnK,The Marshall Mathers LP (25th Anniversary),Bitch Please II,2025-05-23,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,4tujQJicOnuZRLiBFdp3Ou,Xzibit
2DQ6hHlAGj6DiT0Y068bnK,The Marshall Mathers LP (25th Anniversary),Bitch Please II,2025-05-23,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,1Oa0bMld0A3u5OTYfMzp5h,Nate Dogg
2DQ6hHlAGj6DiT0Y068bnK,The Marshall Mathers LP (25th Anniversary),Bitch Please II,2025-05-23,4tujQJicOnuZRLiBFdp3Ou,Xzibit,1Oa0bMld0A3u5OTYfMzp5h,Nate Dogg
2DQ6hHlAGj6DiT0Y068bnK,The Marshall Mathers LP (25th Anniversary),Under The Influence,2025-05-23,7dGJo4pcD2V6oG8kP0tJRR,Eminem,5Qi4Bb7a8C0a00NZcA77L0,D12
7h7smPzBYx8LOLI3ncM3vQ,Something Beautiful,Walk of Fame (feat. Brittany Howard),2025-05-30,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,4XquDVA8pkg5Lx91No1JxB,Brittany Howard
7h7smPzBYx8LOLI3ncM3vQ,Something Beautiful,Every Girl You've Ever Loved (feat. Naomi Campbell),2025-05-30,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,4IKQKM9T5OIshijgLD8ZyK,Naomi Campbell
5Gb94494MtenpCCWoNX0e5,I Said I Love You First... And You Said It Back,I Said I Love You First,2025-05-02,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,5CiGnKThu5ctn9pBxv7DGa,benny blanco
5Gb94494MtenpCCWoNX0e5,I Said I Love You First... And You Said It Back,Younger And Hotter Than Me,2025-05-02,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,5CiGnKThu5ctn9pBxv7DGa,benny blanco
5Gb94494MtenpCCWoNX0e5,I Said I Love You First... And You Said It Back,Call Me When You Break Up (with Gracie Abrams),2025-05-02,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,5CiGnKThu5ctn9pBxv7DGa,benny blanco
5Gb94494MtenpCCWoNX0e5,I Said I Love You First... And You Said It Back,Call Me When You Break Up (with Gracie Abrams),2025-05-02,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams
5Gb94494MtenpCCWoNX0e5,I Said I Love You First... And You Said It Back,Call Me When You Break Up (with Gracie Abrams),2025-05-02,5CiGnKThu5ctn9pBxv7DGa,benny blanco,4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams
5Gb94494MtenpCCWoNX0e5,I Said I Love You First... And You Said It Back,Ojos Tristes (with The Marías),2025-05-02,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,5CiGnKThu5ctn9pBxv7DGa,benny blanco
5Gb94494MtenpCCWoNX0e5,I Said I Love You First... And You Said It Back,Ojos Tristes (with The Marías),2025-05-02,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,2sSGPbdZJkaSE2AbcGOACx,The Marías
5Gb94494MtenpCCWoNX0e5,I Said I Love You First... And You Said It Back,Ojos Tristes (with The Marías),2025-05-02,5CiGnKThu5ctn9pBxv7DGa,benny blanco,2sSGPbdZJkaSE2AbcGOACx,The Marías
5Gb94494MtenpCCWoNX0e5,I Said I Love You First... And You Said It Back,Don’t Wanna Cry,2025-05-02,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,5CiGnKThu5ctn9pBxv7DGa,benny blanco
5Gb94494MtenpCCWoNX0e5,I Said I Love You First... And You Said It Back,Sunset Blvd,2025-05-02,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,5CiGnKThu5ctn9pBxv7DGa,benny blanco
5Gb94494MtenpCCWoNX0e5,I Said I Love You First... And You Said It Back,Cowboy,2025-05-02,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,5CiGnKThu5ctn9pBxv7DGa,benny blanco
5Gb94494MtenpCCWoNX0e5,I Said I Love You First... And You Said It Back,Bluest Flame,2025-05-02,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,5CiGnKThu5ctn9pBxv7DGa,benny blanco
