album_id,album_name,track_name,release_date,artist_u_id,artist_u_name,artist_v_id,artist_v_name
3ARwSvDQv2OHYnLeDC3Lxi,MAYHEM,Killah (feat. Gesaffelstein),2025-09-01,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,3hteYQFiMFbJY7wS0xDymP,Gesaffelstein
3ARwSvDQv2OHYnLeDC3Lxi,MAYHEM,Die With A Smile,2025-09-01,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,0du5cEVh5yTK9QJze8zA0C,Bruno Mars
2KrREEyHxkdFGYAd1DmMdS,SWAG II,I THINK YOU'RE SPECIAL,2025-09-05,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,687cZJR45JO7jhk1LHIbgq,Tems
2KrREEyHxkdFGYAd1DmMdS,SWAG II,DON'T WANNA,2025-09-05,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,3K2Srho6NCF3o9MswGR76H,Bakar
2KrREEyHxkdFGYAd1DmMdS,SWAG II,POPPIN’ MY S***,2025-09-05,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,1fQ46lgoUCz8FVXdTVNk0a,Hurricane Chris
2KrREEyHxkdFGYAd1DmMdS,SWAG II,SAFE SPACE,2025-09-05,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,4bbjivSh1oG4NOc7uYHfw5,Lil B
2KrREEyHxkdFGYAd1DmMdS,SWAG II,OPEN UP YOUR HEART,2025-09-05,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,1AaSeUFzwt47HhkGtWE1xn,Eddie Benjamin
2KrREEyHxkdFGYAd1DmMdS,SWAG II,WAY IT IS,2025-09-05,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,2hlmm7s2ICUX0LVIhVFlZQ,Gunna
2KrREEyHxkdFGYAd1DmMdS,SWAG II,SOULFUL,2025-09-05,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,4QXUDhKn7oIyfnaNEBkrkY,Druski
2KrREEyHxkdFGYAd1DmMdS,SWAG II,DEVOTION,2025-09-05,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,0knGpCTbmG4ctl1wzYRZs4,Dijon
2KrREEyHxkdFGYAd1DmMdS,SWAG II,DADZ LOVE,2025-09-05,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,4bbjivSh1oG4NOc7uYHfw5,Lil B
2KrREEyHxkdFGYAd1DmMdS,SWAG II,THERAPY SESSION,2025-09-05,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,4QXUDhKn7oIyfnaNEBkrkY,Druski
2KrREEyHxkdFGYAd1DmMdS,SWAG II,SWEET SPOT,2025-09-05,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,3DbwFQlvLxRSi2uX8mf81A,Sexyy Red
2KrREEyHxkdFGYAd1DmMdS,SWAG II,STANDING ON BUSINESS,2025-09-05,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,4QXUDhKn7oIyfnaNEBkrkY,Druski
2KrREEyHxkdFGYAd1DmMdS,SWAG II,SWAG,2025-09-05,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,2R0CFyeMDiRbfkhkIMbyl1,Cash Cobain
2KrREEyHxkdFGYAd1DmMdS,SWAG II,SWAG,2025-09-05,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,1AaSeUFzwt47HhkGtWE1xn,Eddie Benjamin
2KrREEyHxkdFGYAd1DmMdS,SWAG II,SWAG,2025-09-05,2R0CFyeMDiRbfkhkIMbyl1,Cash Cobain,1AaSeUFzwt47HhkGtWE1xn,Eddie Benjamin
64QhljQEwTfoEt9z6jsyxl,Play (Extended Edition),Sapphire (feat. Arijit Singh) - Remix,2025-09-12,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,4YRxDV8wJFPHPTeXepOstw,Arijit Singh
1cqqIH16XzBnDchrXJ9Enf,Vie,Take Me Dancing (feat. SZA),2025-09-26,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,7tYKF4w9nC0nq9CsPZTHyP,SZA
3jyvGlsdgbUkdZnbpbZCCb,Something Beautiful (Deluxe),Walk of Fame (feat. Brittany Howard),2025-09-19,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,4XquDVA8pkg5Lx91No1JxB,Brittany Howard
3jyvGlsdgbUkdZnbpbZCCb,Something Beautiful (Deluxe),Every Girl You've Ever Loved (feat. Naomi Campbell),2025-09-19,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,4IKQKM9T5OIshijgLD8ZyK,Naomi Campbell
3jyvGlsdgbUkdZnbpbZCCb,Something Beautiful (Deluxe),Secrets (feat. Lindsey Buckingham & Mick Fleetwood),2025-09-19,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,3Dzj993UEz8Z5ovxuirzFO,Lindsey Buckingham
3jyvGlsdgbUkdZnbpbZCCb,Something Beautiful (Deluxe),Secrets (feat. Lindsey Buckingham & Mick Fleetwood),2025-09-19,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,7bRRWmUqERkyOVSSU6MPFu,Mick Fleetwood
3jyvGlsdgbUkdZnbpbZCCb,Something Beautiful (Deluxe),Secrets (feat. Lindsey Buckingham & Mick Fleetwood),2025-09-19,3Dzj993UEz8Z5ovxuirzFO,Lindsey Buckingham,7bRRWmUqERkyOVSSU6MPFu,Mick Fleetwood
3jyvGlsdgbUkdZnbpbZCCb,Something Beautiful (Deluxe),Lockdown (feat. David Byrne),2025-09-19,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,20vuBdFblWUo2FCOvUzusB,David Byrne
16uNj0jrePojv9NPRkjxYD,Unheard Hits of Koel,Ki Bhalo Lage Priya,2025-09-08,0Yb0T3wUUNiIvHjqnfkbuH,Mahalakshmi Iyer,2FgccOyM3gJt3wBsSLbg4u,Ambarish
16uNj0jrePojv9NPRkjxYD,Unheard Hits of Koel,Bhalobasar Ei Jeevan,2025-09-08,0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,2vdTNHzAv3vnaxfiz8MYtB,Soham Chakraborty
16uNj0jrePojv9NPRkjxYD,Unheard Hits of Koel,Tomake Peye Chena Prithibi,2025-09-08,7guD32ltIhsA1tHdf7IVe0,Babul Supriyo,0oOet2f43PA68X5RxKobEy,Shreya Ghoshal
16uNj0jrePojv9NPRkjxYD,Unheard Hits of Koel,Gole Gole Gole,2025-09-08,4K6blSRoklNdpw4mzLxwfn,Kumar Sanu,2ZRrPOjBIWoKK5rHedLijj,Abhijeet
16uNj0jrePojv9NPRkjxYD,Unheard Hits of Koel,Saiya - Bhalobasa Swapno Chobi,2025-09-08,5cB4d4jPYjMT326sjihQ4m,Shaan,0Yb0T3wUUNiIvHjqnfkbuH,Mahalakshmi Iyer
16uNj0jrePojv9NPRkjxYD,Unheard Hits of Koel,Dekhi Tor Thumak Thumak Chal,2025-09-08,0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,2vdTNHzAv3vnaxfiz8MYtB,Soham Chakraborty
16uNj0jrePojv9NPRkjxYD,Unheard Hits of Koel,Dekha Halo Dekha,2025-09-08,7guD32ltIhsA1tHdf7IVe0,Babul Supriyo,4hkB2bR5ek6lJChj6aunCn,Anuradha Paudwal
16uNj0jrePojv9NPRkjxYD,Unheard Hits of Koel,Ke Dekhechi Aage,2025-09-08,7guD32ltIhsA1tHdf7IVe0,Babul Supriyo,0oOet2f43PA68X5RxKobEy,Shreya Ghoshal
16uNj0jrePojv9NPRkjxYD,Unheard Hits of Koel,Chore Chore Mastuto Bhai,2025-09-08,4K6blSRoklNdpw4mzLxwfn,Kumar Sanu,3VGG0AYwoTpcpQ7zEvipEC,Vinod Rathor
16uNj0jrePojv9NPRkjxYD,Unheard Hits of Koel,Tomake Kotha Dilam,2025-09-08,0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,7guD32ltIhsA1tHdf7IVe0,Babul Supriyo
16uNj0jrePojv9NPRkjxYD,Unheard Hits of Koel,Kauke Bhalo Lage,2025-09-08,7guD32ltIhsA1tHdf7IVe0,Babul Supriyo,0oOet2f43PA68X5RxKobEy,Shreya Ghoshal
16uNj0jrePojv9NPRkjxYD,Unheard Hits of Koel,Kauke Bhalo Lage,2025-09-08,7guD32ltIhsA1tHdf7IVe0,Babul Supriyo,5Y6TM96uwB1H66651V9Zt8,Rima Mukherjee
16uNj0jrePojv9NPRkjxYD,Unheard Hits of Koel,Kauke Bhalo Lage,2025-09-08,0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,5Y6TM96uwB1H66651V9Zt8,Rima Mukherjee
0vVXDXmf1278qChAZI69ki,Hidden Hits of Shreya Ghoshal,Ali Maula,2025-09-06,2NYSSVCXHMWHCdX14YMCKg,Shahdab Hussain,5cB4d4jPYjMT326sjihQ4m,Shaan
0vVXDXmf1278qChAZI69ki,Hidden Hits of Shreya Ghoshal,Ali Maula,2025-09-06,2NYSSVCXHMWHCdX14YMCKg,Shahdab Hussain,0oOet2f43PA68X5RxKobEy,Shreya Ghoshal
0vVXDXmf1278qChAZI69ki,Hidden Hits of Shreya Ghoshal,Ali Maula,2025-09-06,5cB4d4jPYjMT326sjihQ4m,Shaan,0oOet2f43PA68X5RxKobEy,Shreya Ghoshal
0vVXDXmf1278qChAZI69ki,Hidden Hits of Shreya Ghoshal,Mone Mone Atodin,2025-09-06,5cB4d4jPYjMT326sjihQ4m,Shaan,0oOet2f43PA68X5RxKobEy,Shreya Ghoshal
0vVXDXmf1278qChAZI69ki,Hidden Hits of Shreya Ghoshal,Katha Diye Chile Tumi,2025-09-06,5cB4d4jPYjMT326sjihQ4m,Shaan,0oOet2f43PA68X5RxKobEy,Shreya Ghoshal
